name,tier,type,attack,movable,rarity,skill,art,quantity,card_no,set_code,release_code,fx,status
Ashlands,3,lava,melee,no,rare,Dungeon and Lava Dwellers in the 8 adjacent squares add +2 to their rolls. No penalty to anything else.,,1,37,ASH,ASH,aura_plus2_dungeon_lava,final
Lavagoyle,3,lava,melee,yes,common,,,1,38,ASH,ASH,vanilla,final
Lich King,4,dungeon,ranged,yes,legendary,Once per turn during your Recruitment Phase: Special Summon 1 Tier 1 Dungeon Dweller from your Discard pile to an empty Barracks square.,,1,39,ASH,ASH,raise_t1_from_discard,final
Death Knight,4,dungeon,melee,yes,rare,,,1,40,ASH,ASH,vanilla,final
Corrupted Paladin,4,dungeon,melee,yes,epic,"Once per turn: roll this Unit's die. On an even result, destroy 1 Unit your opponent controls. On an odd result, banish 1 Unit from your opponent's Discard pile.",,1,41,ASH,ASH,paladin_even_odd,final
Zombie Token,1,dungeon,melee,yes,common,Token. Not part of your deck. Cannot be Set face-down. Cannot be Tributed.,,1,42,ASH,ASH,token,final
Wisp Token,1,lava,ranged,yes,common,Token. Not part of your deck. Cannot be Set face-down. Cannot be Tributed.,,1,43,ASH,ASH,token,final
Skeleton Knight Token,2,dungeon,melee,yes,common,Token. Not part of your deck. Cannot be Set face-down. Cannot be Tributed.,,1,44,ASH,ASH,token,final
Charnel Reaper,3,dungeon,ranged,yes,rare,"Banish 2 cards from your Discard pile: Special Summon 2 Zombie Tokens (T1 Dungeon, melee, movable, d6) to empty squares adjacent to this Unit.",,1,45,ASH,ASH,charnel_reaper,final
Bone Harvester,3,dungeon,melee,yes,epic,"Discard up to 3 cards from your hand: Special Summon that many Zombie Tokens (T1 Dungeon, melee, movable, d6) to an empty Barracks square you control.",,1,46,ASH,ASH,bone_harvester,final
Charnel Sovereign,4,dungeon,melee,yes,legendary,"Special Summon up to 4 Skeleton Knight Tokens (T2 Dungeon, melee, movable, d8) to an empty Barracks square you control. Pay the cost in any combination of banishing Dungeon Dwellers from your Discard pile, discarding from your hand, or milling from your deck.",,1,47,ASH,ASH,charnel_sovereign,final
Grave Tracker,1,dungeon,ranged,yes,uncommon,On Normal Summon: search your deck for 1 Tier 1 to Tier 3 Dungeon Dweller and add it to your hand.,,1,48,ASH,ASH,search_summon_dungeon,final
Cinder Stalker,1,lava,melee,yes,uncommon,On Normal Summon: search your deck for 1 Tier 1 to Tier 3 Lava Dweller and add it to your hand.,,1,49,ASH,ASH,search_summon_lava,final
Sepulcher Hunter,1,dungeon,melee,yes,epic,While this card is in your Discard pile you may banish it: search your deck for 1 Tier 1 to Tier 4 Dungeon Dweller and add it to your hand.,,1,50,ASH,ASH,search_banish_dungeon,final
Magma Seeker,1,lava,ranged,yes,epic,While this card is in your Discard pile you may banish it: search your deck for 1 Tier 1 to Tier 4 Lava Dweller and add it to your hand.,,1,51,ASH,ASH,search_banish_lava,final
Ossuary Warden,1,dungeon,melee,yes,legendary,Discard this card from your hand: search your deck for 1 Tier 1 to Tier 4 Dungeon Dweller and add it to your hand.,,1,52,ASH,ASH,search_discard_dungeon,final
Pyre Warden,1,lava,ranged,yes,legendary,Discard this card from your hand: search your deck for 1 Tier 1 to Tier 4 Lava Dweller and add it to your hand.,,1,53,ASH,ASH,search_discard_lava,final
Bonecarver,2,dungeon,ranged,yes,uncommon,Sacrifice a Ride stack you control: Special Summon a Unit one Tier higher than the stack's highest Tier from your hand or deck.,,1,54,ASH,ASH,ascend_hand_deck,final
Emberwright,2,lava,ranged,yes,uncommon,Sacrifice a Ride stack you control: Special Summon a Unit one Tier higher than the stack's highest Tier from your hand or deck.,,1,55,ASH,ASH,ascend_hand_deck,final
Tower of Bones,3,dungeon,ranged,no,epic,Sacrifice a Ride stack you control: Special Summon a Unit one Tier higher than the stack's highest Tier from your Discard pile or deck.,,1,56,ASH,ASH,ascend_discard_deck,final
Pyre,3,lava,ranged,no,epic,Sacrifice a Ride stack you control: Special Summon a Unit one Tier higher than the stack's highest Tier from your Discard pile or deck.,,1,57,ASH,ASH,ascend_discard_deck,final
Crypt Caller,3,dungeon,melee,yes,legendary,Sacrifice a Ride stack you control: Special Summon 1 Dungeon Dweller from your Discard pile to that stack's square. No Tier restriction.,,1,58,ASH,ASH,ascend_crypt_caller,final
Magma Minefield,3,lava,melee,no,rare,Once per turn: add 1 Magma Mine from your deck or Discard pile to your hand.,,1,59,ASH,ASH,fetch_magma_mine,final
Undead Drake,3,dungeon,melee,yes,rare,"Once per turn: if this Unit is part of a Ride stack, send this card to the Discard pile instead of destroying the stack.",,1,60,ASH,ASH,drake_saves_stack,final
Undead Cavalry,2,dungeon,melee,yes,rare,Discard 2 cards: Special Summon this Unit from your hand or your Discard pile.,,1,61,ASH,ASH,cavalry_self_summon,final
